"","X","date","likeCount","year","popularity","time","word","sentiment"
"1",47053,17,5,2018,"good",1,"lies","negative"
"2",47057,17,5,2018,"good",1,"sham","negative"
"3",47063,17,2,2018,"good",1,"mistakes","negative"
"4",47067,17,2,2018,"good",1,"corrupted","negative"
"5",47069,17,2,2018,"good",1,"fake","negative"
"6",47079,17,0,2018,"normal",1,"lies","negative"
"7",47080,17,0,2018,"normal",1,"genocide","negative"
"8",47082,17,0,2018,"normal",1,"killing","negative"
"9",47085,17,0,2018,"normal",1,"hard","negative"
"10",47086,17,0,2018,"normal",1,"killing","negative"
"11",47088,17,0,2018,"normal",1,"stealing","negative"
"12",47090,17,0,2018,"normal",1,"cheap","negative"
"13",47091,17,0,2018,"normal",1,"excuses","negative"
"14",47096,17,0,2018,"normal",1,"crap","negative"
"15",47103,17,0,2018,"normal",1,"attack","negative"
"16",47107,17,0,2018,"normal",1,"attack","negative"
"17",47114,17,0,2018,"normal",1,"stimulate","positive"
"18",47118,17,0,2018,"normal",1,"attack","negative"
"19",47137,17,0,2018,"normal",1,"ready","positive"
"20",47138,17,0,2018,"normal",1,"trump","positive"
"21",47155,17,0,2018,"normal",1,"aggression","negative"
"22",47163,17,0,2018,"normal",1,"fall","negative"
"23",47166,17,0,2018,"normal",1,"nonsense","negative"
"24",47167,17,0,2018,"normal",1,"death","negative"
"25",47172,17,0,2018,"normal",1,"bs","negative"
"26",47180,17,1,2018,"normal",1,"overwhelming","negative"
"27",47181,17,1,2018,"normal",1,"smoke","negative"
"28",47183,17,1,2018,"normal",1,"cancer","negative"
"29",47188,17,55,2018,"popular",1,"nonsense","negative"
"30",47198,17,0,2018,"normal",1,"lies","negative"
"31",47202,17,1,2018,"normal",1,"demonizing","negative"
"32",47207,17,1,2018,"normal",1,"dangerous","negative"
"33",47209,17,0,2018,"normal",1,"sick","negative"
"34",47210,17,0,2018,"normal",1,"disgusting","negative"
"35",47211,17,0,2018,"normal",1,"propaganda","negative"
"36",47213,17,56,2018,"popular",1,"sad","negative"
"37",47218,17,56,2018,"popular",1,"faith","positive"
"38",47221,17,0,2018,"normal",1,"trump","positive"
"39",47226,17,0,2018,"normal",1,"dumps","negative"
"40",47227,17,0,2018,"normal",1,"dead","negative"
"41",47229,17,0,2018,"normal",1,"deadly","negative"
"42",47236,17,0,2018,"normal",1,"bomb","negative"
"43",47241,17,0,2018,"normal",1,"dumps","negative"
"44",47244,17,0,2018,"normal",1,"deadly","negative"
"45",47246,17,0,2018,"normal",1,"dead","negative"
"46",47253,17,0,2018,"normal",1,"deadly","negative"
"47",47256,17,0,2018,"normal",1,"killing","negative"
"48",47260,17,0,2018,"normal",1,"dumps","negative"
"49",47267,17,0,2018,"normal",1,"syndrome","negative"
"50",47268,17,0,2018,"normal",1,"stupid","negative"
"51",47276,17,0,2018,"normal",1,"attack","negative"
"52",47279,17,0,2018,"normal",1,"attack","negative"
"53",47281,17,0,2018,"normal",1,"sore","negative"
"54",47282,17,0,2018,"normal",1,"loser","negative"
"55",47284,17,3,2018,"good",1,"wrong","negative"
"56",47286,17,3,2018,"good",1,"attack","negative"
"57",47289,17,0,2018,"normal",1,"lost","negative"
"58",47291,17,0,2018,"normal",1,"respect","positive"
"59",47292,17,0,2018,"normal",1,"trump","positive"
"60",47298,17,0,2018,"normal",1,"embattled","negative"
"61",47328,17,0,2018,"normal",1,"trust","positive"
"62",47337,17,0,2018,"normal",1,"funny","negative"
"63",47343,17,0,2018,"normal",1,"overthrow","negative"
"64",47345,17,0,2018,"normal",1,"attack","negative"
"65",47364,17,0,2018,"normal",1,"stupid","negative"
"66",47367,17,0,2018,"normal",1,"conspiracy","negative"
"67",47376,17,1,2018,"normal",1,"trump","positive"
"68",47377,17,1,2018,"normal",1,"wrong","negative"
"69",47378,17,1,2018,"normal",1,"impeach","negative"
"70",47379,17,1,2018,"normal",1,"impeach","negative"
"71",47380,17,1,2018,"normal",1,"impeach","negative"
"72",47381,17,0,2018,"normal",1,"ridiculous","negative"
"73",47383,17,0,2018,"normal",1,"benefits","positive"
"74",47395,17,0,2018,"normal",1,"death","negative"
"75",47397,17,0,2018,"normal",1,"losing","negative"
"76",47400,17,0,2018,"normal",1,"gaining","positive"
"77",47401,17,0,2018,"normal",1,"unfriendly","negative"
"78",47408,17,0,2018,"normal",1,"lose","negative"
"79",47422,17,0,2018,"normal",1,"complex","negative"
"80",47427,17,0,2018,"normal",1,"attack","negative"
"81",47433,17,0,2018,"normal",1,"overthrow","negative"
"82",47436,17,0,2018,"normal",1,"benefit","positive"
"83",47440,17,0,2018,"normal",1,"benefit","positive"
