,textOriginal,date,likeCount,year,popularity,time
1,us govt  liars and pigs  greedy for oil ,2014/9/26,1,2014,normal,1
2,please for feel free to use nuclear bomb for end all this black flag problems and no more us dead soldiers ,2014/9/25,5,2014,good,1
3,ask the germans how effective bombing london was in the s,2014/9/25,4,2014,good,1
4,we are going to loose our heads,2014/9/25,0,2014,normal,1
5,isis will be destroyed,2014/9/24,32,2014,good,1
6,here comes the illuminati again to control planet earth the new world order,2014/9/24,0,2014,normal,1
7,go qatar<U+00A0>,2014/9/24,1,2014,normal,1
8,mine in your f business its most conf for me and i decide what to do,2014/9/25,0,2014,normal,1
9,ignacioagramonte <U+00A0>you dont like to learn do you or do you want to tell us that the new world order will all force us to write only in capital letters that would be indeed something to fight againts friends of the small lettersits on us now<U+00A0> unite and stand up and fight,2014/9/25,1,2014,normal,1
10,isis is a figment the illuminati are the one invading libya to create the new world order on the planet,2014/9/25,0,2014,normal,1
11,wrong wrong wrong one sided ignorance the kurds have won major victories over isis in iraq and already the scales weigh heavily against isis there also the taliban were overthrown in afghanistan and forced out of the country having to rely on insurgents sneaking in from other countries to fight against us troops and coalition forces there so your claim the the us has not destroyed one terrorist group is a fraud the object to eliminate all terrorists group is euphoria and we never expected to defeat them world wide it is and will always be an ongoing battle as long as we cannot destroy the money at its source and stop the funding of terrorists groups and that is expecting too much all we can do is forcefully force them out of area and try to keep the borders secure and that is where iraq and afghanistan have to learn to do so on their own with corruption rampant in those arenas that is what is making it an impossibility the religious opposition between the sunnis and the shiites will always make this format a problem to stop the corruption so that the government can unify to oppose and protect the people against terrorists mandatory hanging offenses for border guards that accept bribes  year prison sentences for any politician found guilty of accepting bribes and death sentences for anyone found guilty of assisting terrorists is the only way to bolster the ability to fight against terrorism in those countries,2014/9/26,0,2014,normal,1
12,due to some of strict rule being carried out by isil in their controlled areas of iraq many of the sunni iraqis will and some are already leaning support more toward the iraqi government especially now that a new prime minister abadi has been elected one of the goals in order to keep the government of iraq afloat and they know this is the inclusion of sunni as well as peshmerga in the overall government decisions and how the country is run these airstrikes are to enable isf to actually go out and take back the territory they have lost in iraq lets say provide morale now in regards to syria strikes wouldnt you prefer to strike in the area where isil funnels their money fighters and resources through where they conduct training where there top leadership resides sounds like striking in syria is a good way to scare isil not expecting the us to strike them where they have the core of their training leadership and finances,2014/9/26,0,2014,normal,1
13,gotta love the truthbrothersall of ya,2014/9/26,0,2014,normal,1
14,germany also gave the holy bible to those other than priestsweeveryday man to interpret on our own,2014/9/26,0,2014,normal,1
15,isisdemonic goddesswashingtons street layout satanic symbolisms everywherego figure,2014/9/26,0,2014,normal,1
16,america got more than rocket scientists from germanypharmaceuticalspropagandabrainwashingakaciabroadcasting manipulation ofthe worlds best babysitter has become the tv etc while both parents slave to make ends meetfluoride to make you passivechemicalsgermanywe have become an engineered societyprogrammed for generationsa few anywayshitler only had radiospeechesfilmalso investigate how much money hitler got from prominent americai rest my case with king jamesbrother shall slay brotherenemies will be turned on each otherislams progenitor<U+00A0> ismael and he will be a wild manhis hand will be against every manand every mans hand against himand he shall dwell in the presence of all his brethren genhagarmotherwhich gendereth to bondage gave birth to a warring peoplesyet  we are all sons of abraham,2014/9/26,1,2014,normal,1
17,isis stands for israeli secret intelligence services this is all a ciamossad operation to justify invading syria to overthrow assad  just another peaceful mission by that nobel peace prize winning saddam hussein osama uh obama uh barrack yeah barrack obomber uh wait  shit never mind,2014/9/26,0,2014,normal,1
18,this is what obama bush  show to america and they believe all the government says your sons go to war for money and they died far from their homes or return crazy or wounded and they say america is the best they are killers all thier lives were like that and interfere in another countries for oil and other interests isis were prepared by america in libia againd kadaffi and daash was prepare by bush against saadam bush taled about terrorism after the towers were destroyed do america know who ordered that bush  an scuse to invade iraq  now obama let genocide in syria by <U+00A0>assad <U+00A0>for more than  years now he said we will not go there  why is he there now because daash in iraq stole his oil and also isis is in syria<U+00A0> he agree with the worst genocideassad only attack the north of syria  with the escuse of isis he is helping assad killing all syrians dont talk about al qaeda they are not terrorists<U+00A0>  syrians wants to live in peace and free when they ask this assad began to kill everybodyold young womenmen kid torture chemical bombs barril bombs who is the terrorist    not only the world believe america words they lie to their own people<U+00A0>  assadisisdaashus and allies are killing exterminating syria fuck all of you  syrians are alone they have only god but they will arrive to the victory of the revolution in january of  they only ask for freedom dignity life no more corruption and assad sent his army to kill all the youn students who where there the syria army doesnt have people more than  years old also young boy of  are fighting god help them  isis and daash and assad are not muslims and i ask myself who are the amercians jews the same who exterminate palestine<U+00A0>  but in a few years the world will be muslim obama is muslim but he will go to hell  allahu akbar,2014/9/26,0,2014,normal,1
19,shia against sunni sunni against shia in the end who winsisrael from the river nile to the river euphrates,2014/9/26,0,2014,normal,1
20,i think this video overestimates the strength of isis k fighters is a drop in the bucket compared to us forces saudi forces syrian forces or just about any other government in the me isiss strength comes from their willingness to terrorize the local population they hope to rule history has always shown this to be a fools approach to legitimate leadership isiss second strength is its money by robbing banks and selling oil from captured oil fields it has gotten very rich very fast but the money in the banks in the area they control will run out and we need to organize the world to stop allowing them to smuggle out the oil and to no allow it to be sold on the open market one ship with illegal oil on it was reported leaving turkey and eventually docked in houston the last alternative is to destroy the oil fields sometimes you have to hit them where it hurts<U+00A0> lastly isis has skillfully manipulated the western media to get attention this makes them look more powerful in the eyes of the arab population so does the us governments focus on them if we dont give them the attention they want their power will diminish<U+00A0> its amazing that we have learned nothing from the years of fighting terrorism<U+00A0>,2014/9/25,0,2014,normal,1
